species,decimalLatitude,decimalLongitude,prediction
Acmella paniculata,26.318609,94.512108,2
Acmella uliginosa,22.685139,88.321112,4
Acolutha pictaria,27.337797,88.612892,2
Acontia crocata,25.1839,75.8263,0
Acraea terpsicore,8.4534,77.0727,1
Acraea terpsicore,8.68425,77.135411,1
Acraea terpsicore,9.564319,76.570677,1
Acraea terpsicore,10.346893,76.207412,1
Acraea terpsicore,11.786253,77.800785,7
Acraea terpsicore,12.94829,77.585686,7
Acraea terpsicore,19.073759,72.839111,8
Acraea terpsicore,19.8171,85.8607,4
Acraea terpsicore,20.1885,85.4361,4
Acraea terpsicore,20.1969,85.4641,4
Acraea terpsicore,20.1975,85.4398,4
Acraea terpsicore,20.1977,85.4401,4
Acraea terpsicore,20.202244,85.45174,4
Acraea terpsicore,21.321756,72.8581,8
Acraea terpsicore,21.3223,72.8576,8
Acraea terpsicore,21.3225,72.8577,8
Acraea terpsicore,21.3233,72.8521,8
Acraea terpsicore,21.3235,72.8508,8
Acraea terpsicore,21.414894,72.682401,8
Acraea terpsicore,22.607914,88.465367,4
Acraea terpsicore,22.685756,88.336076,4
Acraea terpsicore,22.692177,78.105125,0
Acraea terpsicore,22.791923,88.330959,4
Acraea terpsicore,22.80416,88.333923,4
Acraea terpsicore,23.473264,87.301764,4
Acraea terpsicore,23.582427,87.340801,4
Acraea terpsicore,25.01511,85.057117,4
Acraea terpsicore,26.014657,91.478521,2
Acraea terpsicore,30.316495,78.032192,6
Acraea vesta,25.143525,94.283342,2
Acraea vesta,26.645924,89.549004,2
Acraea vesta,26.87156,88.267809,2
Acraea vesta,27.031942,88.667538,2
Acraea vesta,27.395147,95.630023,2
Acraea vesta,29.600957,79.666954,6
Acraea vesta,30.465218,78.012733,6
Acraea violae,9.946385,76.25805,1
Acraea violae,10.11463,76.477753,1
Acraea violae,11.016845,76.955832,1
Acraea violae,11.3247,79.2388,7
Acraea violae,11.3258,79.2457,7
Acraea violae,11.474454,77.869128,7
Acraea violae,11.687405,78.180668,7
Acraea violae,12.636622,77.888176,7
Acraea violae,12.860144,80.227226,7
Acraea violae,12.948431,77.586296,7
Acraea violae,12.954062,77.514,7
Acraea violae,13.08268,80.270718,7
Acraea violae,13.130651,77.546502,7
Acraea violae,13.354951,74.784035,3
Acraea violae,14.354177,75.798646,3
Acraea violae,15.729238,74.887077,3
